what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875094880
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381875104584
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875111992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875112019
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381875112362
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875112574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875112598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875133848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875151679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875160145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875164443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875168907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875179658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875190489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875202882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381875217993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875221900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875227740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875244065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875251755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875258600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875263673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875267931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875272211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381875277055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875279610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875294155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381875310920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381875312497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381875313394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875313783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875314659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875315054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875315944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875318663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875321750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875322443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875409409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875419060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875419205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875420004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875583536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875584517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875585333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875592190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875595972
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381875602759
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875602981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381875603002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381875706972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381876059908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381876069967
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381876072282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381876078297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381876079040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381876084673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381876085658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381876086661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381876097108
